
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. PROC_SUBSYSTEM, 4725, 8877, 953, 0, 2, 8, 64, 11, 68
.	. AXI_GLUE_LOGIC, 0, 16, 0, 0, 0, 0, 0, 0, 0
.	. COREAHBTOAPB3_19s_0s, 99, 39, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBtoAPB3_AhbToApbSM_0s_0_1_0_1_2_3_4, 9, 24, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBtoAPB3_ApbAddrData_0s, 88, 13, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBtoAPB3_PenableScheduler_0s_0_1_2, 2, 2, 0, 0, 0, 0, 0, 0, 0
.	. COREAXITOAHBL_5s_0s_0s_0s_2s_1, 418, 728, 80, 0, 0, 0, 8, 0, 0
.	.	. COREAXITOAHBL_AHBMasterCtrl_Z10_1, 135, 403, 40, 0, 0, 0, 0, 0, 0
.	.	. COREAXITOAHBL_AXIOutReg_5s, 71, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAXITOAHBL_AXISlaveCtrl_Z9, 74, 325, 40, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_WSRTBAddrOffset, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_WSTRBPopCntr, 0, 37, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAXITOAHBL_RAM_syncWrAsyncRd, 69, 0, 0, 0, 0, 0, 4, 0, 0
.	.	. COREAXITOAHBL_RAM_syncWrAsyncRd_0, 69, 0, 0, 0, 0, 0, 4, 0, 0
.	. COREAXITOAHBL_5s_0s_0s_0s_2s_1_0, 415, 710, 80, 0, 0, 0, 8, 0, 0
.	.	. COREAXITOAHBL_AHBMasterCtrl_Z10_1_0, 135, 391, 40, 0, 0, 0, 0, 0, 0
.	.	. COREAXITOAHBL_AXIOutReg_5s_0, 69, 0, 0, 0, 0, 0, 0, 0, 0
